userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	8.228393	https://www.ncbi.nlm.nih.gov/gene/?term=2
A2M-AS1	A2M-AS1	A2M antisense RNA 1	144571	-0.31010312	https://www.ncbi.nlm.nih.gov/gene/?term=144571
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568	0.94703203	https://www.ncbi.nlm.nih.gov/gene/?term=144568
AACS	AACS	acetoacetyl-CoA synthetase	65985	3.4835992	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAT	AADAT	aminoadipate aminotransferase	51166	0.1844385	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAR2	AAR2	AAR2 splicing factor homolog	25980	1.626819	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	1.0911552	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	-0.108550765	https://www.ncbi.nlm.nih.gov/gene/?term=132949
AASS	AASS	aminoadipate-semialdehyde synthase	10157	0.5368862	https://www.ncbi.nlm.nih.gov/gene/?term=10157
ABAT	ABAT	4-aminobutyrate aminotransferase	18	0.9262265	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	3.1179984	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	0.018091794	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	0.1994987	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.10302543	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA6	ABCA6	ATP binding cassette subfamily A member 6	23460	0.25626782	https://www.ncbi.nlm.nih.gov/gene/?term=23460
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	0.5083305	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	-0.89881986	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	-0.28262314	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	-1.1157748	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	2.7329855	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	1.282317	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	3.0312555	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	1.5139164	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	0.0017602827	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	5.9891415	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	1.3781546	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	1.6459864	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	-0.5632171	https://www.ncbi.nlm.nih.gov/gene/?term=225
